model:GRU  parameters:2181

dataset: [PosixPath('/home/leic/Desktop/tongji/Icarus_try/data/training/labeled/80H_WIN/LNC_15min.csv')] 

Begin to slice.
Successful!

training features: torch.Size([8000, 320, 4])
testing features: torch.Size([2000, 320, 4])
training labels: torch.Size([8000, 1]) tensor([0, 1, 2]) tensor([2479, 3140, 2381]) tensor([0.3099, 0.3925, 0.2976])
testing labels: torch.Size([2000, 1]) tensor([0, 1, 2]) tensor([625, 783, 592]) tensor([0.3125, 0.3915, 0.2960])

cuda = True

epoch:0 	train loss:267.842896 	train accuracy:0.424875 	test loss:1.061117 	test accuracy:0.440000
epoch:10 	train loss:260.385345 	train accuracy:0.484500 	test loss:1.049785 	test accuracy:0.483000
epoch:20 	train loss:260.327484 	train accuracy:0.488125 	test loss:1.050243 	test accuracy:0.477500
epoch:30 	train loss:275.654999 	train accuracy:0.403750 	test loss:1.186060 	test accuracy:0.296000
epoch:40 	train loss:218.445633 	train accuracy:0.672000 	test loss:0.856014 	test accuracy:0.689000
epoch:50 	train loss:214.344925 	train accuracy:0.683750 	test loss:0.846863 	test accuracy:0.693500
epoch:60 	train loss:207.763046 	train accuracy:0.712500 	test loss:0.834273 	test accuracy:0.705000
epoch:70 	train loss:206.553787 	train accuracy:0.717375 	test loss:0.827251 	test accuracy:0.713000
epoch:80 	train loss:205.991592 	train accuracy:0.719125 	test loss:0.923198 	test accuracy:0.603000
epoch:90 	train loss:206.419052 	train accuracy:0.719000 	test loss:0.849407 	test accuracy:0.694500
epoch:100 	train loss:204.097778 	train accuracy:0.730875 	test loss:0.815430 	test accuracy:0.733000
epoch:110 	train loss:205.080460 	train accuracy:0.723875 	test loss:0.853371 	test accuracy:0.684000
epoch:120 	train loss:207.377136 	train accuracy:0.712875 	test loss:0.844736 	test accuracy:0.696000
epoch:130 	train loss:201.447876 	train accuracy:0.738125 	test loss:0.805040 	test accuracy:0.743500
epoch:140 	train loss:204.665894 	train accuracy:0.724125 	test loss:0.822448 	test accuracy:0.721000
epoch:150 	train loss:205.252991 	train accuracy:0.720875 	test loss:0.856484 	test accuracy:0.678500
epoch:160 	train loss:199.560028 	train accuracy:0.745500 	test loss:0.813528 	test accuracy:0.730500
