model:TCN  parameters:2308

dataset: /lustre1/home/leic/G/data/training/labeled/ORIG/W260H/GOOG_W260H_15min_ORIG.csv 

Begin to slice.
Successful!

training features: torch.Size([8320, 260, 6])
testing features: torch.Size([2080, 260, 6])
training labels: torch.Size([8320, 1]) tensor([0, 1, 2]) tensor([1649, 4989, 1682]) tensor([0.1982, 0.5996, 0.2022])
testing labels: torch.Size([2080, 1]) tensor([0, 1, 2]) tensor([ 412, 1276,  392]) tensor([0.1981, 0.6135, 0.1885])

cuda = True

epoch:0 	train loss:2345.772461 	train accuracy:0.438221 	test loss:1.656601 	test accuracy:0.534135
epoch:10 	train loss:263.596680 	train accuracy:0.592187 	test loss:0.982025 	test accuracy:0.613462
epoch:20 	train loss:245.466248 	train accuracy:0.598077 	test loss:0.930647 	test accuracy:0.612981
epoch:30 	train loss:241.381485 	train accuracy:0.599279 	test loss:0.910435 	test accuracy:0.616827
epoch:40 	train loss:234.265076 	train accuracy:0.611298 	test loss:0.886846 	test accuracy:0.624038
epoch:50 	train loss:219.705460 	train accuracy:0.632692 	test loss:0.849180 	test accuracy:0.638462
epoch:60 	train loss:209.433197 	train accuracy:0.651683 	test loss:0.844134 	test accuracy:0.637981
epoch:70 	train loss:202.954819 	train accuracy:0.669231 	test loss:0.831150 	test accuracy:0.658173
epoch:80 	train loss:194.070129 	train accuracy:0.684736 	test loss:0.792197 	test accuracy:0.666346
epoch:90 	train loss:186.325455 	train accuracy:0.701923 	test loss:0.769567 	test accuracy:0.681731
epoch:100 	train loss:179.436096 	train accuracy:0.713341 	test loss:0.742864 	test accuracy:0.699038
epoch:110 	train loss:174.055054 	train accuracy:0.726683 	test loss:0.733026 	test accuracy:0.700962
epoch:120 	train loss:166.847031 	train accuracy:0.737740 	test loss:0.690844 	test accuracy:0.725962
epoch:130 	train loss:161.700165 	train accuracy:0.744231 	test loss:0.667471 	test accuracy:0.725000
epoch:140 	train loss:157.310196 	train accuracy:0.750962 	test loss:0.652789 	test accuracy:0.743750
epoch:150 	train loss:149.817719 	train accuracy:0.761178 	test loss:0.665226 	test accuracy:0.721154
epoch:160 	train loss:145.060486 	train accuracy:0.771154 	test loss:0.614439 	test accuracy:0.742308
epoch:170 	train loss:142.091339 	train accuracy:0.773678 	test loss:0.605887 	test accuracy:0.753846
epoch:180 	train loss:135.394730 	train accuracy:0.785937 	test loss:0.593307 	test accuracy:0.756731
epoch:190 	train loss:131.274292 	train accuracy:0.794351 	test loss:0.584246 	test accuracy:0.766827
epoch:200 	train loss:124.650391 	train accuracy:0.803365 	test loss:0.540008 	test accuracy:0.775481
epoch:210 	train loss:119.158150 	train accuracy:0.813221 	test loss:0.536362 	test accuracy:0.778365
epoch:220 	train loss:113.379959 	train accuracy:0.823438 	test loss:0.577109 	test accuracy:0.780288
epoch:230 	train loss:107.934349 	train accuracy:0.836418 	test loss:0.507457 	test accuracy:0.800000
epoch:240 	train loss:102.165718 	train accuracy:0.843029 	test loss:0.455813 	test accuracy:0.808173
epoch:250 	train loss:96.932472 	train accuracy:0.849159 	test loss:0.444863 	test accuracy:0.817788
epoch:260 	train loss:92.404549 	train accuracy:0.855769 	test loss:0.428729 	test accuracy:0.819231
epoch:270 	train loss:85.353882 	train accuracy:0.867428 	test loss:0.410360 	test accuracy:0.836058
epoch:280 	train loss:80.985603 	train accuracy:0.873918 	test loss:0.403733 	test accuracy:0.847115
epoch:290 	train loss:75.242775 	train accuracy:0.884135 	test loss:0.352965 	test accuracy:0.859615
epoch:300 	train loss:72.648735 	train accuracy:0.886899 	test loss:0.336196 	test accuracy:0.864904
epoch:310 	train loss:71.635406 	train accuracy:0.890264 	test loss:0.323745 	test accuracy:0.865865
epoch:320 	train loss:65.625420 	train accuracy:0.902524 	test loss:0.351138 	test accuracy:0.859135
epoch:330 	train loss:64.015968 	train accuracy:0.903726 	test loss:0.358959 	test accuracy:0.866827
epoch:340 	train loss:60.722885 	train accuracy:0.907212 	test loss:0.293283 	test accuracy:0.883173
epoch:350 	train loss:57.115658 	train accuracy:0.914784 	test loss:0.309405 	test accuracy:0.881731
epoch:360 	train loss:59.773392 	train accuracy:0.908293 	test loss:0.346351 	test accuracy:0.876442
epoch:370 	train loss:56.971863 	train accuracy:0.918630 	test loss:0.327677 	test accuracy:0.873077
epoch:380 	train loss:53.252354 	train accuracy:0.924880 	test loss:0.271249 	test accuracy:0.893269
epoch:390 	train loss:54.855694 	train accuracy:0.917067 	test loss:0.271366 	test accuracy:0.898077
epoch:400 	train loss:51.792023 	train accuracy:0.926562 	test loss:0.268344 	test accuracy:0.902885
epoch:410 	train loss:49.643368 	train accuracy:0.929447 	test loss:0.270334 	test accuracy:0.897115
epoch:420 	train loss:51.230934 	train accuracy:0.928846 	test loss:0.246008 	test accuracy:0.912500
epoch:430 	train loss:53.134602 	train accuracy:0.925120 	test loss:0.260126 	test accuracy:0.898558
